"ADIPOR2"	"AEBP2"	"ALG10"	"ARNTL2"	"ATN1"	"C12orf4"	"CCDC77"	"CD9"	"CDCA3"	"COPS7A"	"DERA"	"DNM1L"	"EMG1"	"ERC1"	"ERGIC2"	"FKBP4"	"FOXJ2"	"GAPDH"	"ITFG2"	"KDM5A"	"LPCAT3"	"M6PR"	"MLF2"	"MRPL51"	"MRPS35"	"NCAPD2"	"NECAP1"	"PARP11"	"PEX5"	"PLEKHA5"	"PLEKHG6"	"RAD51AP1"	"RAD52"	"STRAP"	"TULP3"	"USP5"	"WBP11"	"ZNF384"
"TCGA.21.1076.01A.02R.0692.07"	2076.0668	654.5455	97.9592	359.5547	2512.0594	561.039	182.5603	21518.7384	168.0334	1058.6271	634.8794	1606.308	440.0742	915.7699	659.3692	2116.5121	643.7848	43469.0167	315.3989	1240.4453	1269.3878	4404.0742	2333.9518	1088.6827	785.5288	1736.1781	702.0408	334.6939	607.0501	569.9443	223.7477	271.243	131.7254	1637.1058	463.8219	1427.8293	1641.1874	967.718
"TCGA.21.1077.01A.01R.0692.07"	3368.5447	1222.2547	175.3709	1017.9521	3604.8948	439.7624	261.2759	33623.1329	258.3159	2138.7232	1071.3646	2417.3582	973.8602	810.9789	1138.5752	6415.2795	891.9878	127636.5995	358.3085	1765.7263	1675.8154	4810.1777	5136.0515	1821.8094	1716.7649	2779.2275	835.0145	218.991	1146.142	1215.1331	603.5606	284.8664	118.6023	3617.8028	687.2401	2464.094	2174.7766	1049.1094
"TCGA.21.1078.01A.01R.0692.07"	1189.7576	841.2034	96.1932	66.9847	3692.7271	317.3985	196.2808	25381.365	77.0792	2117.8074	626.2292	2232.3045	736.4424	737.6107	713.8545	2955.8952	708.7917	81404.7318	934.281	1460.4225	1828.8385	4011.8236	4274.17	1289.8452	1427.7091	1581.1508	800.701	228.2154	865.7385	907.4092	662.0582	91.1304	143.7056	2429.3642	426.4434	2614.3511	2174.6665	1283.2246
"TCGA.21.1079.01A.01R.0692.07"	2964.8467	794.9567	221.3912	1158.2434	4150.4434	665.8831	177.7968	15879.9017	259.6474	2902.4468	2202.372	1015.0657	755.6363	1495.8863	1309.969	3167.4324	773.5869	94439.1495	417.9934	1993.3754	1379.2072	6217.2924	4694.5186	2175.4461	1426.6481	2360.0812	1032.1616	380.3825	843.2525	1117.6408	5.9835	391.9222	99.3995	3445.6673	762.902	3059.3012	2730.2062	1818.5704
"TCGA.21.1080.01A.01R.0692.07"	2752.4116	831.5916	230.7074	379.0193	3719.4534	610.1286	261.254	19515.6752	561.1656	2610.9325	903.9389	1890.6752	769.7387	1084.4051	886.254	6041.8006	1128.6174	93132.2387	263.6656	1374.5981	2324.7588	4805.7838	4440.5145	2023.3119	1564.7106	4693.328	901.9293	170.0161	1567.1222	760.8521	202.1704	403.9389	168.8103	3600.8842	721.865	2559.0836	2760.4502	1126.2058
"TCGA.21.1081.01A.01R.0692.07"	2859.9733	1379.9156	109.2949	191.4007	5581.5782	349.4207	210.2446	17512.2216	474.8353	1590.4294	624.2732	1129.5602	509.7827	1013.8045	434.2185	5136.0533	844.4782	116952.0179	544.0518	1153.7882	2880.1632	3776.3142	5307.2641	1663.1132	874.0901	3961.5368	806.5211	162.5964	688.881	799.7911	359.6503	331.3843	228.281	2736.1416	955.3883	3016.1089	3435.5214	2234.0849
"TCGA.21.1082.01A.01R.0692.07"	2164.5865	770.7763	119.3303	231.7605	5768.0365	600.7103	355.1497	26115.8803	493.1101	1659.2593	1020.8016	1564.688	836.8179	852.3592	888.483	4510.6038	1060.9843	60351.4967	505.7331	1594.7235	1975.0381	3264.1339	3947.2349	1973.0086	1050.4313	2395.1294	720.0406	239.8782	678.2344	740.7407	548.3511	491.933	193.7697	2429.2237	1123.0847	1867.0726	2714.5611	1666.5652
"TCGA.21.1083.01A.01R.0692.07"	2972.8534	1284.7455	174.5484	253.3544	5024.2294	538.8534	423.4095	18530.1295	414.1671	2181.3368	883.457	2313.3714	1074.2505	1204.2113	941.1789	7700.1777	633.5589	168962.5257	545.4206	1927.6367	2045.8457	3641.1077	5191.865	2061.3996	1821.5251	4988.2828	839.215	429.6311	1516.3246	749.6941	759.0264	604.8708	177.3135	3856.3104	701.3044	4050.9059	3489.2402	1850.9045
"TCGA.21.5782.01A.01R.1635.07"	3268.5393	885.3933	133.7079	880.8989	8301.1236	475.2809	352.809	39016.8539	619.7079	3586.5169	996.6292	979.7753	1402.2472	1578.6517	1010.1124	4656.1798	1171.9101	246357.3034	673.0337	2366.2921	3823.5955	4706.0787	9374.1573	3780.8989	1546.0674	6731.4607	866.2921	100	1351.6854	1170.7865	823.5955	386.5169	114.6067	2534.8315	975.2809	4180.8989	4182.0225	2003.3708
"TCGA.21.5783.01A.41R.2187.07"	1750.2758	864.5416	173.0244	474.9463	4953.8408	372.1767	296.6963	7960.576	577.202	1328.7464	916.7973	1756.6626	598.0085	1956.6858	829.4142	5549.8461	1161.5282	105982.4072	342.8555	2442.0833	1127.2717	2216.2022	4521.8603	1421.6455	928.9903	5659.8734	547.814	269.9878	1303.7798	1162.3991	564.0713	401.498	127.7362	2841.5491	951.0538	3346.107	2568.0776	1084.0156
